"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"23-07-2021","Não","150","10:30","11:00","30","""Entrevista: Rádio Grande FM - Dourados/MS""","""Palácio do Planalto"""
"23-07-2021","Não","150","15:00","15:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"23-07-2021","Não","150","15:30","17:00","90","""Luiz Eduardo Ramos, Ministro de Estado Chefe da Casa Civil da Presidência da República; e Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
