"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"02-08-2021","Não","300","09:35","10:05","30","""Entrevista: Rádio ABC 103 FM – Novo Hamburgo/RS""","""Palácio do Planalto"""
"02-08-2021","Não","300","10:30","11:00","30","""Ciro Nogueira, Ministro de Estado Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"02-08-2021","Não","300","12:00","12:05","5","""Chegada do Presidente da República de Portugal, Senhor Marcelo Rebelo de Sousa""","""Palácio da Alvorada"""
"02-08-2021","Não","300","12:05","14:00","115","""Almoço em homenagem ao Excelentíssimo Senhor Marcelo Rebelo de Sousa, Presidente da República de Portugal""","""Palácio da Alvorada"""
"02-08-2021","Não","300","15:00","15:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"02-08-2021","Não","300","15:30","16:30","60","""Assinatura do Acordo de Cooperação Técnica Água nas Escolas""","""Brasília/DF"""
"02-08-2021","Não","300","17:00","17:30","30","""Entrevista: TV Piauí""","""Palácio do Planalto"""
