DIA,SEM_COMPROMISSO,DURACAO_DIA,INICIO,FIM,DURACAO_COMPROMISSO,TITULO,LOCAL
"16-04-2021","Não","265","15:00","16:00","60","""Onyx Lorenzoni, Ministro-Chefe da Secretaria-Geral da Presidência da República; e Humberto Fernandes de Moura, Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"12-04-2021","Não","390","10:00","11:30","90","""Embaixador Carlos França, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"12-04-2021","Não","390","11:30","12:00","30","""Onyx Lorenzoni, Ministro de Estado Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"12-04-2021","Não","390","14:15","14:45","30","""Humberto Fernandes de Moura, Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"12-04-2021","Não","390","15:00","17:00","120","""Solenidade de transmissão do cargo de Comandante da Aeronáutica do Senhor Tenente-Brigadeiro do Ar Antônio Carlos Bermudez ao Senhor Tenente-Brigadeiro do Ar Carlos de Almeida Baptista Júnior""","""Brasília/DF"""
"12-04-2021","Não","390","17:30","19:00","90","""Roberto Mira, Vice-Presidente da NTC & Logística e da FETCESP""","""Palácio do Planalto"""
"12-04-2021","Não","390","19:15","19:45","30","""Rogério Marinho, Ministro de Estado do Desenvolvimento Regional""","""Palácio do Planalto"""
"02-04-2021","Sim","0","""""","""""","""""","""""",""""""
"04-04-2021","Sim","0","""""","""""","""""","""""",""""""
"05-04-2021","Não","350","09:30","10:10","40","""Marcelo Queiroga, Ministro de Estado da Saúde""","""Palácio do Planalto"""
"05-04-2021","Não","350","10:10","10:30","20","""Carlos Alberto Franco França, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"05-04-2021","Não","350","10:30","12:00","90","""Cerimônia de Apresentação de Cartas Credenciais dos novos Embaixadores""","""Palácio do Planalto"""
"05-04-2021","Não","350","14:30","15:30","60","""Entrega do Residencial Crixá IV e V""","""Brasília/DF"""
"05-04-2021","Não","350","15:40","16:10","30","""Onyx Lorenzoni, Ministro de Estado Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"05-04-2021","Não","350","16:10","17:00","50","""Tarcísio Freitas, Ministro de Estado da Infraestrutura""","""Palácio do Planalto"""
"05-04-2021","Não","350","17:00","17:15","15","""Braga Netto, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"05-04-2021","Não","350","17:15","18:00","45","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"24-04-2021","Sim","0","""""","""""","""""","""""",""""""
"30-04-2021","Não","330","09:00","10:20","80","""Partida de Brasília/DF para São Paulo/SP""","""Brasília/DF"""
"30-04-2021","Não","330","12:00","13:50","110","""Almoço Brasil de Ideias Mulher""","""São Paulo/SP"""
"30-04-2021","Não","330","15:00","16:00","60","""Leilão de Concessão dos Serviços de Saneamento em 35 Municípios do estado do Rio de Janeiro""","""São Paulo/SP"""
