"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"28-02-2023","Não","60","09:00","09:10","10","""Ministro da Secretaria de Relações Institucionais, Alexandre Padilha, e Ministro da Secretaria de Comunicação Social, Paulo Pimenta""","""Palácio do Planalto"""
"28-02-2023","Não","60","09:30","09:40","10","""Ministro da Casa Civil, Rui Costa, Ministro da Fazenda, Fernando Haddad, Ministro de Minas e Energia, Alexandre Silveira, e Presidente da Petrobras, Jean Paul Prates""","""Palácio do Planalto"""
"28-02-2023","Não","60","11:00","11:10","10","""Cerimônia de reinstalação do Conselho Nacional de Segurança Alimentar e Nutricional – CONSEA""","""Palácio do Planalto"""
"28-02-2023","Não","60","15:00","15:10","10","""Secretário Especial para Assuntos Jurídicos da Casa Civil, Wellington César Lima""","""Palácio do Planalto"""
"28-02-2023","Não","60","16:00","16:10","10","""Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES), Aloizio Mercadante""","""Palácio do Planalto"""
"28-02-2023","Não","60","17:00","17:10","10","""Ministro da Casa Civil, Rui Costa, Ministro da Secretaria de Relações Institucionais, Alexandre Padilha, Líder do Governo no Congresso Nacional, Senador Randolfe Rodrigues, e os Vice-líderes: Deputado Bohn Gass, Deputado Carlos Zarattini, Deputado Daniel Almeida, Deputado Dorinaldo Malafaia, Deputada Lídice da Mata, Deputado Lindbergh Farias, Deputado Reginaldo Lopes, Deputada Roseana Sarney, Deputado Otto Alencar Filho e Deputada Laura Carneiro""","""Palácio do Planalto"""
