ano,id_municipio,PT,OUTRO
2002,3112901,2265,1045
2002,3113008,3132,2341
2002,3113800,644,284
2002,3117207,673,756
2002,3117504,4262,1379
2002,3117603,1537,853
2002,3120300,705,773
2002,3121704,874,629
2002,3122405,1805,622
2002,3125200,775,400
2002,3127800,1442,2933
2002,3128253,1745,783
2002,3130507,3225,1563
2002,3131703,37262,7103
2002,3133204,3101,1465
2002,3133709,2930,984
2002,3135001,1215,250
2002,3136504,1591,1692
2002,3136702,174699,24565
2002,3137809,4949,3427
2002,3139409,15463,7204
2002,3139904,3040,3757
2002,3141702,1400,947
2002,3142007,3071,1705
2002,3144102,4542,4698
2002,3144375,1093,522
2002,3145802,957,450
2002,3146206,1280,1156
2002,3147402,5963,2613
2002,3150505,1601,1649
2002,3150802,2507,3352
2002,3151909,1869,2138
2002,3154457,1598,1140
2002,3154507,1285,2034
2002,3155702,5265,1029
2002,3156106,1302,1573
2002,3157500,624,661
2002,3159506,1195,1123
2002,3159605,6634,6984
2002,3166006,1237,1187
2002,3166204,1592,2666
2002,3166402,463,394
2002,3170404,18980,8859
2002,3170578,1458,658
2002,3171907,1463,723
2002,3501152,5538,2118
2002,3507100,2302,3020
2002,3507407,3233,1695
2002,3510104,756,383
2002,3513504,36372,8937
2002,3514007,2063,760
2002,3514700,1464,1127
2002,3516903,2667,2355
2002,3519402,1606,2448
2002,3520608,1324,1059
2002,3521002,4361,2348
2002,3521903,3092,3041
2002,3530102,5518,4895
2002,3531001,400,464
2002,3531704,801,747
2002,3532827,1063,1172
2002,3532868,315,346
2002,3540002,4290,4366
2002,3540200,7403,3779
2002,3541406,45543,29284
2002,3542701,1614,834
2002,3543204,1575,718
2002,3544608,1478,819
2002,3546603,5936,5943
2002,3548054,1934,1245
2002,3548906,48153,32285
2002,3552007,1106,1231
2002,3553955,3141,1610
2002,3557105,16203,16027
2002,1200104,4548,2257
2002,1200138,1243,623
2002,1200393,1130,1137
2002,1300086,821,1202
2002,1300680,2664,511
2002,1302108,147,396
2002,1302306,649,1229
2002,1600253,637,148
2002,5004502,3399,3070
2002,5005202,3251,986
2002,5007802,1609,834
2002,5007901,6189,2189
2002,3200359,985,1133
2002,3200409,5158,2507
2002,3203353,3081,2124
2002,5100508,1593,1512
2002,5100805,885,1433
2002,5104104,4007,3983
2002,5106273,704,813
2002,5107743,223,361
2002,5108907,633,811
2002,2700706,1691,1119
2002,2701902,585,1483
2002,2704708,3042,4236
2002,2705507,1963,3098
2002,2301901,11899,2878
2002,2302404,6875,2630
2002,2303402,650,1855
2002,2304251,2350,1059
2002,2304400,562897,28845
2002,2309003,458,902
2002,2310506,3832,1657
2002,2310605,982,465
2002,2310852,3005,752
2002,2311355,3544,3299
2002,2311603,4979,1167
2002,2312502,2608,351
2002,1100130,4284,2516
2002,1100148,3347,2440
2002,1100254,5400,2262
2002,1100379,2300,821
2002,1101435,1854,349
2002,2101400,7799,5219
2002,2101806,468,484
2002,2102325,6627,2038
2002,2103554,1195,627
2002,2104057,2895,2785
2002,2104651,978,239
2002,2105005,3883,905
2002,2105401,9016,1425
2002,2107100,2471,230
2002,2107506,11455,1011
2002,2109056,646,591
2002,2111631,518,312
2002,2500809,3423,2209
2002,2504355,731,873
2002,2505238,1220,983
2002,2506103,1787,2612
2002,2507309,2342,1824
2002,2508208,1511,1223
2002,2509800,2288,1617
2002,2510204,729,918
2002,2510659,260,438
2002,2511806,1994,1311
2002,2512101,7681,3901
2002,2512903,4233,3091
2002,2514701,490,1309
2002,2803807,967,328
2002,2804805,19146,4969
2002,2805901,2478,1024
2002,2806503,572,210
2002,2807006,171,512
2002,2200954,581,757
2002,2201408,1344,868
2002,2202208,11481,5606
2002,2202851,1390,915
2002,2204907,1725,925
2002,2208403,7288,6683
2002,2209351,751,1191
2002,2209609,1026,274
2002,2210201,1263,1054
2002,1400456,1099,384
2002,1500206,4987,5599
2002,1500701,648,2418
2002,1502806,2370,1949
2002,1502855,1268,1852
2002,1502954,2887,1629
2002,1503804,6120,5637
2002,1505635,963,1339
2002,1505650,1724,1560
2002,1505908,2757,2247
2002,1506138,10298,7264
2002,1506708,1809,2534
2002,1506807,55950,13261
2002,1508308,5740,5785
2002,2402402,1013,1666
2002,2404804,566,228
2002,2407500,1279,1812
2002,2407609,1413,282
2002,2407708,2550,702
2002,2408904,3575,3212
2002,2409704,1435,1369
2002,2412302,2129,1420
2002,2413557,438,391
2002,2601904,9159,10593
2002,2603207,3916,2809
2002,2604106,39121,43502
2002,2604403,2378,2095
2002,2604601,4376,2051
2002,2606309,1303,818
2002,2607703,1888,3264
2002,2608750,4743,1318
2002,2609907,5774,9734
2002,2610806,3090,3829
2002,2611101,55897,12875
2002,2611309,3239,4749
2002,2612471,2325,2145
2002,2612802,1168,2030
2002,2614402,1020,1346
2002,2615904,2446,975
2002,2616407,20097,16915
2002,5203401,1882,1389
2002,5204508,10846,6075
2002,5205000,2034,1115
2002,5205307,1211,1099
2002,5206305,826,570
2002,5208806,4710,2118
2002,5208905,7803,3717
2002,5212907,440,437
2002,5213756,2011,1891
2002,5214002,2141,2366
