"Produto/Unidade","Mês/Ano","Preço Médio"
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","04/2020",18.34
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","05/2020",18.55
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","06/2020",19.26
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","07/2020",18.99
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","08/2020",21.19
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","09/2020",25.96
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","10/2020",26.09
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","11/2020",28.55
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","12/2020",26.94
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","01/2021",24.18
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","02/2021",22.9
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","03/2021",24.28
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","04/2021",24.55
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","05/2021",22.61
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","06/2021",21.52
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","07/2021",21.81
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","08/2021",21.98
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","09/2021",22.3
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","10/2021",21.74
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","11/2021",21.51
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","12/2021",19.39
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","01/2022",19.72
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","02/2022",19.5
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","03/2022",20.55
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","04/2022",20.9
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","05/2022",21.02
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","06/2022",21.07
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (5 kg)","07/2022",20.7
"BATATA INGLESA (kg)","01/2018",2.46
"BATATA INGLESA (kg)","02/2018",2.12
"BATATA INGLESA (kg)","03/2018",2.19
"BATATA INGLESA (kg)","04/2018",2.48
"BATATA INGLESA (kg)","05/2018",4.65
"BATATA INGLESA (kg)","06/2018",2.64
"BATATA INGLESA (kg)","07/2018",2.64
"BATATA INGLESA (kg)","08/2018",2.29
"BATATA INGLESA (kg)","09/2018",2.09
"BATATA INGLESA (kg)","10/2018",2.24
"BATATA INGLESA (kg)","11/2018",2.78
"BATATA INGLESA (kg)","12/2018",2.97
"BATATA INGLESA (kg)","01/2019",3.34
"BATATA INGLESA (kg)","02/2019",4.74
"BATATA INGLESA (kg)","03/2019",4.79
"BATATA INGLESA (kg)","04/2019",5.96
"BATATA INGLESA (kg)","05/2019",5.99
"BATATA INGLESA (kg)","06/2019",5.81
"BATATA INGLESA (kg)","07/2019",5.74
"BATATA INGLESA (kg)","08/2019",4.98
"BATATA INGLESA (kg)","09/2019",4.59
"BATATA INGLESA (kg)","10/2019",3.09
"BATATA INGLESA (kg)","11/2019",3.19
"BATATA INGLESA (kg)","12/2019",4.24
"BATATA INGLESA (kg)","01/2020",4.49
"BATATA INGLESA (kg)","02/2020",5.59
"BATATA INGLESA (kg)","03/2020",4.85
"BATATA INGLESA (kg)","04/2020",4.62
"BATATA INGLESA (kg)","05/2020",7.24
"BATATA INGLESA (kg)","06/2020",5.24
"BATATA INGLESA (kg)","07/2020",2.99
"BATATA INGLESA (kg)","08/2020",3.6
"BATATA INGLESA (kg)","09/2020",3.58
"BATATA INGLESA (kg)","10/2020",6.03
"BATATA INGLESA (kg)","11/2020",7.75
"BATATA INGLESA (kg)","12/2020",6.36
"BATATA INGLESA (kg)","01/2021",6.46
"BATATA INGLESA (kg)","02/2021",4.87
"BATATA INGLESA (kg)","03/2021",4.38
"BATATA INGLESA (kg)","04/2021",4.73
"BATATA INGLESA (kg)","05/2021",4.83
"BATATA INGLESA (kg)","06/2021",3.96
"BATATA INGLESA (kg)","07/2021",3.15
"BATATA INGLESA (kg)","08/2021",3.73
"BATATA INGLESA (kg)","09/2021",4.18
"BATATA INGLESA (kg)","10/2021",4.51
"BATATA INGLESA (kg)","11/2021",4.67
"BATATA INGLESA (kg)","12/2021",4.09
"BATATA INGLESA (kg)","01/2022",4.18
"BATATA INGLESA (kg)","02/2022",5.1
"BATATA INGLESA (kg)","03/2022",5.72
"BATATA INGLESA (kg)","04/2022",6.38
"BATATA INGLESA (kg)","05/2022",6.98
"BATATA INGLESA (kg)","06/2022",6.8
"BATATA INGLESA (kg)","07/2022",6.26
"BATATA INGLESA MONALISA (kg)","01/2018",2.46
"BATATA INGLESA MONALISA (kg)","02/2018",2.12
"BATATA INGLESA MONALISA (kg)","03/2018",2.19
"BATATA INGLESA MONALISA (kg)","04/2018",2.48
"BATATA INGLESA MONALISA (kg)","05/2018",4.65
"BATATA INGLESA MONALISA (kg)","06/2018",2.64
"BATATA INGLESA MONALISA (kg)","07/2018",2.64
"BATATA INGLESA MONALISA (kg)","08/2018",2.29
"BATATA INGLESA MONALISA (kg)","09/2018",2.09
"BATATA INGLESA MONALISA (kg)","10/2018",2.24
"BATATA INGLESA MONALISA (kg)","11/2018",2.78
"BATATA INGLESA MONALISA (kg)","12/2018",2.97
