"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"16-08-2021","Não","90","15:00","15:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"16-08-2021","Não","90","15:30","16:00","30","""Mario Frias, Secretário Especial de Cultura do Ministério do Turismo""","""Palácio do Planalto"""
"16-08-2021","Não","90","16:00","16:30","30","""Ciro Nogueira, Ministro de Estado Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
