"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"25-01-2023","Não","90","10:30","10:40","10","""Partida para Montevidéu""","""Base Aérea de Buenos Aires"""
"25-01-2023","Não","90","11:00","11:10","10","""Chegada em Montevidéu""","""Base Aérea de Montevidéu"""
"25-01-2023","Não","90","12:00","12:10","10","""Reunião privada com Presidente da República Oriental do Uruguai, Luis Lacalle Pou""","""Residência Presidencial de Suárez e Reyes"""
"25-01-2023","Não","90","12:40","12:50","10","""Declaração à imprensa""","""Residência Presidencial de Suárez e Reyes"""
"25-01-2023","Não","90","13:00","13:10","10","""Almoço oferecido pelo Presidente da República Oriental do Uruguai, Luis Lacalle Pou""","""Residência Presidencial de Suárez e Reyes"""
"25-01-2023","Não","90","15:00","15:10","10","""Cerimônia de outorga da distinção \""Compromisso Ambiental\"", da Prefeitura de Montevidéu""","""Sede da Prefeitura de Montevidéu"""
"25-01-2023","Não","90","16:30","16:40","10","""Encontro com o ex-presidente da República Oriental do Uruguai, José Mujica, e com Lucía Topolasnky""",""""""
"25-01-2023","Não","90","18:30","18:40","10","""Partida para Brasília""",""""""
"25-01-2023","Não","90","21:30","21:40","10","""Chegada em Brasília""","""Base Aérea de Brasília"""
