"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"02-01-2023","Não","100","09:45","09:55","10","""Rei Felipe VI, Reino da Espanha""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","10:40","10:50","10","""Presidente do Estado Plurinacional da Bolívia, Luis Arce Alberto Catacora""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","12:15","12:25","10","""Presidente da República de Guiné Bissau, Umaro Sissoco Embaló""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","13:00","13:10","10","""Presidente da República da Argentina, Alberto Ángel Fernández""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","14:00","14:10","10","""Presidente da República do Equador, Guillermo Lasso""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","15:00","15:10","10","""Presidente da República da Colômbia, Gustavo Petro""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","15:50","16:00","10","""Vice-Presidente da República Popular da China, Wang Qishan""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","16:30","16:40","10","""Presidente da República do Chile, Gabriel Boric Font""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","17:30","17:40","10","""Presidente de Portugal, Marcelo Rebelo de Souza""","""Palácio do Itamaraty"""
"02-01-2023","Não","100","18:30","18:40","10","""Presidenta da República de Honduras, Iris Xiomara Castro Sarmiento""","""Palácio do Itamaraty"""
