MONTH,YEAR,STATE,TYPE,MIN,AVG,MAX
"09","2018","CE","ETANOL",3.399,3.638480049875312,3.89
"09","2017","PI","DIESEL S10",3.099,3.351142857142857,3.499
"04","2016","BA","ETANOL",2.659,3.1464095092024538,3.699
"11","2020","AL","GNV",2.599,2.942923076923077,3.49
"04","2017","BA","DIESEL",2.59,2.9816015037593986,3.649
"01","2020","PB","GASOLINA",4.119,4.343470149253731,4.799
"02","2020","MG","ETANOL",2.879,3.3798818998716302,3.999
"11","2020","SE","GASOLINA",4.43,4.6090625,4.799
"10","2020","RJ","ETANOL",3.289,3.7812745098039215,4.399
"10","2019","CE","GASOLINA",4.18,4.625870845204179,4.98
"07","2016","PB","ETANOL",2.699,3.0458654708520183,3.46
"07","2018","SE","DIESEL",3.28,3.40822972972973,3.589
"11","2020","RN","GNV",3.179,3.4239473684210524,3.599
"07","2017","PB","DIESEL",2.699,2.9698853503184712,3.36
"08","2018","DF","ETANOL",2.733,3.170039603960396,3.599
"08","2017","AC","ETANOL",3.19,3.6403448275862065,4.09
"08","2016","PE","GNV",2.059,2.0835809523809523,2.629
"05","2016","SE","GNV",2.289,2.3704,2.389
"12","2020","AC","GASOLINA",4.89,5.056916666666667,5.31
"11","2019","PA","DIESEL S10",3.59,4.072027842227379,4.627
"08","2019","DF","DIESEL",3.349,3.630456790123457,3.979
"08","2018","AC","DIESEL",3.99,4.1964143646408845,4.496
"11","2019","BA","GASOLINA",3.999,4.586837537091988,5.099
"07","2016","PE","ETANOL",2.649,3.0098644314868803,3.59
"04","2016","SE","ETANOL",2.846,3.242419642857143,3.459
"12","2020","MG","DIESEL",3.209,3.6562409240924088,3.999
"11","2020","PA","DIESEL S10",3.43,3.9579999999999997,4.449
"11","2019","SC","GASOLINA",3.799,4.152185884691849,4.699
"07","2017","PA","DIESEL",2.659,3.227204697986577,3.95
"10","2019","AP","ETANOL",3.579,3.5890000000000004,3.599
"08","2017","SE","GNV",2.605,2.6672000000000002,2.699
"08","2017","RJ","ETANOL",2.59,3.229872655478776,4.199
"08","2016","PB","GNV",2.179,2.378307692307692,2.8
"05","2016","AC","ETANOL",3.15,3.47575,3.99
"09","2019","CE","DIESEL",3.579,3.817281746031746,4.05
"11","2019","PB","DIESEL S10",3.549,3.721593886462882,4.099
"11","2020","SC","GASOLINA",3.87,4.311024316109423,4.699
"05","2016","BA","GNV",1.59,2.3588863636363637,2.997
"08","2019","GO","ETANOL",2.379,2.8166516264428125,3.26
"10","2019","RR","ETANOL",3.79,3.858947368421053,3.97
"12","2019","PR","ETANOL",2.75,3.1511709350804047,3.799
"12","2019","AC","GASOLINA",4.65,4.905872093023255,5.2
"10","2017","MG","GNV",2.379,2.624111111111111,2.89
"11","2019","AL","GNV",3.579,3.6201935483870966,3.8
"11","2018","PA","GASOLINA",4.26,4.777615384615385,5.39
"01","2019","PA","GASOLINA",3.88,4.5393480475382,5.189
"04","2019","MA","GASOLINA",4.099,4.415998226950355,4.94
"11","2020","BA","GASOLINA",3.87,4.436212765957447,4.899
"07","2018","SC","DIESEL",2.977,3.224728280961183,3.731
"10","2019","AM","ETANOL",3.19,3.39857225433526,3.978
"12","2019","MG","DIESEL",3.399,3.810715407854985,4.989
"02","2016","DF","ETANOL",3.19,3.3858676470588236,3.499
"07","2018","BA","DIESEL",3.12,3.42557658643326,3.86
"08","2017","BA","GNV",2.15,2.3564642857142855,2.59
