"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"25-06-2021","Não","160","10:15","10:45","30","""Inauguração do Centro de Excelência em Tecnologia 4.0""","""Sorocaba/SP"""
"25-06-2021","Não","160","11:30","12:30","60","""Cerimônia de Apresentação da Tecnologia 5G para o Agro""","""Sorocaba/SP"""
"25-06-2021","Não","160","15:40","16:10","30","""Visita às obras da Arena Condá""","""Chapecó/SC"""
"25-06-2021","Não","160","16:40","17:20","40","""Visita técnica às instalações da Sede Administrativa da Cooperativa Central Aurora Alimentos""","""Chapecó/SC"""
