"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"16-06-2021","Não","340","09:00","10:00","60","""6ª Reunião do Comitê de Coordenação Nacional para Enfrentamento da Pandemia da Covid-19""","""Palácio do Planalto"""
"16-06-2021","Não","340","14:30","15:00","30","""Deputado David Soares (DEM/SP)""","""Palácio do Planalto"""
"16-06-2021","Não","340","15:00","15:20","20","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"16-06-2021","Não","340","15:30","16:15","45","""Deputado Aluisio Mendes (PSC/MA), Líder do PSC na Câmara dos Deputados""","""Palácio do Planalto"""
"16-06-2021","Não","340","16:30","16:50","20","""Deputado Pr. Marco Feliciano (Republicanos/SP), Vice-Líder do Governo no Congresso Nacional""","""Palácio do Planalto"""
"16-06-2021","Não","340","17:00","19:45","165","""Reunião com Parlamentares""","""Palácio da Alvorada"""
