"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"21-06-2021","Não","340","08:30","10:00","90","""Partida de Brasília/DF para Guaratinguetá/SP""","""Base Aérea de Brasília"""
"21-06-2021","Não","340","10:30","11:30","60","""Solenidade de Promoção à Graduação de Sargento da Escola de Especialistas de Aeronáutica""","""Guaratinguetá/SP"""
"21-06-2021","Não","340","13:30","15:00","90","""Partida de Guaratinguetá/SP para Brasília/DF""","""Aeroporto Edu Chaves"""
"21-06-2021","Não","340","15:30","16:30","60","""Luiz Eduardo Ramos, Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; Onyx Lorenzoni, Ministro de Estado Chefe da Secretaria-Geral da Presidência da República; e Flávia Arruda, Ministra de Estado Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"21-06-2021","Não","340","16:50","17:30","40","""Anderson Torres, Ministro de Estado da Justiça e Segurança Pública""","""Palácio do Planalto"""
