"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"02-03-2023","Não","50","09:00","09:10","10","""Ministro da Secretaria de Relações Institucionais, Alexandre Padilha, e Ministro da Secretaria de Comunicação Social, Paulo Pimenta""","""Palácio do Planalto"""
"02-03-2023","Não","50","09:30","09:40","10","""Entrevista ao jornalista Reinaldo Azevedo""","""Palácio do Planalto"""
"02-03-2023","Não","50","11:00","11:10","10","""Cerimônia de lançamento do Novo Bolsa Família""","""Palácio do Planalto"""
"02-03-2023","Não","50","15:00","15:10","10","""Videochamada com o Presidente da Ucrânia, Volodymyr Zelensky""","""Palácio do Planalto"""
"02-03-2023","Não","50","16:00","16:10","10","""Ministra do Esporte, Ana Moser""","""Palácio do Planalto"""
