"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"07-03-2023","Não","50","09:00","09:10","10","""Ministro da Secretaria de Relações Institucionais, Alexandre Padilha, e Ministro da Secretaria de Comunicação Social, Paulo Pimenta""","""Palácio do Planalto"""
"07-03-2023","Não","50","15:00","15:10","10","""Presidente da Confederação Nacional dos Trabalhadores em Educação, Heleno Araújo, e Presidenta do Sindicato dos Professores do Ensino Oficial do Estado de São Paulo (APEOESP), Deputada Estadual Maria Izabel Azevedo Noronha (Professora Bebel)""","""Palácio do Planalto"""
"07-03-2023","Não","50","16:00","16:10","10","""Ministra do Turismo, Daniela Carneiro""","""Palácio do Planalto"""
"07-03-2023","Não","50","17:00","17:10","10","""Presidente da Fundação Perseu Abramo, Paulo Okamotto""","""Palácio do Planalto"""
"07-03-2023","Não","50","19:00","19:10","10","""Solenidade de entrega de comenda da Ordem do Mérito do Tribunal Superior Eleitoral – Assis Brasil ao Presidente do Senado Federal e do Congresso Nacional, Senador Rodrigo Pacheco""","""Plenário do Tribunal Superior Eleitoral"""
