"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"13-03-2023","Não","50","07:30","07:40","10","""Partida para Boa Vista""","""Base Aérea de Brasília"""
"13-03-2023","Não","50","10:00","10:10","10","""Chegada em Boa Vista (horário local)""","""Base Aérea de Boa Vista"""
"13-03-2023","Não","50","11:00","11:10","10","""52ª Assembleia Geral dos Povos Indígenas de Roraima (horário local)""","""Centro Regional das Lideranças Indígenas, Lago do Caracaranã – Terra Indígena Raposa Serra do Sol"""
"13-03-2023","Não","50","14:00","14:10","10","""Partida para Brasília (horário local)""","""Base Aérea de Boa Vista"""
"13-03-2023","Não","50","18:00","18:10","10","""Chegada em Brasília""","""Base Aérea de Brasília"""
