"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"16-03-2023","Não","80","07:30","07:40","10","""Partida para Foz do Iguaçu-PR""","""Base Aérea de Brasília"""
"16-03-2023","Não","80","09:20","09:30","10","""Chegada em Foz do Iguaçu""","""Aeroporto Internacional de Foz do Iguaçu"""
"16-03-2023","Não","80","10:00","10:10","10","""Cerimônia de posse do novo Diretor-Geral Brasileiro da Itaipu Binacional, Enio Verri""","""Cineteatro dos Barrageiros - Itaipu Binacional"""
"16-03-2023","Não","80","11:30","11:40","10","""Encontro com o Presidente da República do Paraguai, Mario Abdo Benítez""","""Itaipu Binacional"""
"16-03-2023","Não","80","13:00","13:10","10","""Partida para Brasília""","""Aeroporto Internacional de Foz do Iguaçu"""
"16-03-2023","Não","80","14:50","15:00","10","""Chegada em Brasília""","""Base Aérea de Brasília"""
"16-03-2023","Não","80","16:00","16:10","10","""Sessão Solene de Posse dos novos Presidente e Vice-Presidente do Superior Tribunal Militar, Ministro Francisco Joseli Parente Camelo e Ministro José Coêlho Ferreira""","""Plenário do Superior Tribunal Militar"""
"16-03-2023","Não","80","17:30","17:40","10","""Ministra da Gestão e Inovação em Serviços Públicos, Esther Dweck, e o Advogado-Geral da União, Jorge Messias""","""Palácio do Planalto"""
