"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"22-03-2023","Não","100","07:15","07:25","10","""Partida para Campina Grande (PB)""","""Base Aérea de Brasília"""
"22-03-2023","Não","100","09:30","09:40","10","""Chegada em Campina Grande (PB)""","""Aeroporto de Campina Grande"""
"22-03-2023","Não","100","11:00","11:10","10","""Cerimônia de lançamento do Complexo Renovável Neoenergia – Parque Eólico Chafariz""","""Santa Luzia (PB)"""
"22-03-2023","Não","100","13:00","13:10","10","""Partida para Recife""","""Aeroporto de Campina Grande"""
"22-03-2023","Não","100","13:20","13:30","10","""Chegada em Recife""","""Base Aérea do Recife"""
"22-03-2023","Não","100","14:00","14:10","10","""Assinatura de Atos Alusivos à homologação do Acordo de Noronha""","""Palácio do Campo das Princesas"""
"22-03-2023","Não","100","14:15","14:25","10","""Almoço oferecido pela Governadora de Pernambuco, Raquel Lyra""","""Palácio do Campo das Princesas"""
"22-03-2023","Não","100","16:00","16:10","10","""Cerimônia de relançamento do Programa de Aquisição de Alimentos (PAA) e de Recriação do Conselho Nacional de Desenvolvimento Rural Sustentável (CONDRAF)""","""Ginásio de Esportes Geraldo Magalhães (Geraldão)"""
"22-03-2023","Não","100","19:00","19:10","10","""Partida para o Rio de Janeiro""","""Base Aérea do Recife"""
"22-03-2023","Não","100","21:30","21:40","10","""Chegada ao Rio de Janeiro""","""III Comando Aéreo (COMAR)"""
