"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"30-07-2021","Não","280","08:30","08:45","15","""Entrevista: Rádio 89 FM – São Paulo""","""Palácio do Planalto"""
"30-07-2021","Não","280","10:15","11:00","45","""Cerimônia Oficial de Chegada do Presidente da República de Cabo Verde, Senhor Jorge Carlos de Almeida Fonseca""","""Palácio do Planalto"""
"30-07-2021","Não","280","11:00","11:20","20","""Reunião com o Presidente da República de Cabo Verde, Senhor Jorge Carlos de Almeida Fonseca""","""Palácio do Planalto"""
"30-07-2021","Não","280","11:30","11:50","20","""Declaração à imprensa""","""Palácio do Planalto"""
"30-07-2021","Não","280","12:00","13:30","90","""Almoço em homenagem ao Excelentíssimo Senhor Jorge Carlos de Almeida Fonseca, Presidente da República de Cabo Verde""","""Palácio Itamaraty"""
"30-07-2021","Não","280","15:00","16:00","60","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"30-07-2021","Não","280","16:00","16:30","30","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia e Inovações""","""Palácio do Planalto"""
