UF;MUNICIPIO;TIPO VEICULO;QUANTIDADE
AC;CRUZEIRO DO SUL;SEMI-REBOQUE;219
AC;CRUZEIRO DO SUL;SIDE-CAR;0
AC;CRUZEIRO DO SUL;OUTROS;19
AC;CRUZEIRO DO SUL;TRATOR ESTEI;0
AC;CRUZEIRO DO SUL;TRATOR RODAS;0
AC;CRUZEIRO DO SUL;TRICICLO;8
AC;CRUZEIRO DO SUL;UTILITARIO;148
AC;EPITACIOLANDIA;AUTOMOVEL;2124
AC;EPITACIOLANDIA;BONDE;0
AC;EPITACIOLANDIA;CAMINHAO;311
AC;EPITACIOLANDIA;CAMINHAO TRATOR;111
AC;EPITACIOLANDIA;CAMINHONETE;1102
AC;EPITACIOLANDIA;CAMIONETA;101
AC;EPITACIOLANDIA;CHASSI PLATAF;0
AC;EPITACIOLANDIA;CICLOMOTOR;7
AC;EPITACIOLANDIA;MICRO-ONIBUS;11
AC;EPITACIOLANDIA;MOTOCICLETA;2795
AC;EPITACIOLANDIA;MOTONETA;813
AC;EPITACIOLANDIA;ONIBUS;18
AC;EPITACIOLANDIA;QUADRICICLO;0
AC;EPITACIOLANDIA;REBOQUE;101
AC;EPITACIOLANDIA;SEMI-REBOQUE;170
AC;EPITACIOLANDIA;SIDE-CAR;0
AC;EPITACIOLANDIA;OUTROS;25
AC;EPITACIOLANDIA;TRATOR ESTEI;0
AC;EPITACIOLANDIA;TRATOR RODAS;0
AC;EPITACIOLANDIA;TRICICLO;3
AC;EPITACIOLANDIA;UTILITARIO;15
AC;FEIJO;AUTOMOVEL;685
AC;FEIJO;BONDE;0
AC;FEIJO;CAMINHAO;125
AC;FEIJO;CAMINHAO TRATOR;5
AC;FEIJO;CAMINHONETE;379
AC;FEIJO;CAMIONETA;38
AC;FEIJO;CHASSI PLATAF;0
AC;FEIJO;CICLOMOTOR;47
AC;FEIJO;MICRO-ONIBUS;4
AC;FEIJO;MOTOCICLETA;2491
AC;FEIJO;MOTONETA;740
AC;FEIJO;ONIBUS;11
AC;FEIJO;QUADRICICLO;0
AC;FEIJO;REBOQUE;14
AC;FEIJO;SEMI-REBOQUE;8
AC;FEIJO;SIDE-CAR;0
AC;FEIJO;OUTROS;10
AC;FEIJO;TRATOR ESTEI;0
AC;FEIJO;TRATOR RODAS;0
AC;FEIJO;TRICICLO;10
AC;FEIJO;UTILITARIO;11
AC;JORDAO;AUTOMOVEL;13
AC;JORDAO;BONDE;0
AC;JORDAO;CAMINHAO;6
AC;JORDAO;CAMINHAO TRATOR;0
AC;JORDAO;CAMINHONETE;14
AC;JORDAO;CAMIONETA;2
AC;JORDAO;CHASSI PLATAF;0
AC;JORDAO;CICLOMOTOR;0
AC;JORDAO;MICRO-ONIBUS;0
AC;JORDAO;MOTOCICLETA;86
AC;JORDAO;MOTONETA;34
AC;JORDAO;ONIBUS;0
AC;JORDAO;QUADRICICLO;0
AC;JORDAO;REBOQUE;0
AC;JORDAO;SEMI-REBOQUE;0
AC;JORDAO;SIDE-CAR;0
AC;JORDAO;OUTROS;0
AC;JORDAO;TRATOR ESTEI;0
AC;JORDAO;TRATOR RODAS;0
AC;JORDAO;TRICICLO;0
AC;JORDAO;UTILITARIO;0
AC;MANCIO LIMA;AUTOMOVEL;746
AC;MANCIO LIMA;BONDE;0
AC;MANCIO LIMA;CAMINHAO;100
AC;MANCIO LIMA;CAMINHAO TRATOR;3
AC;MANCIO LIMA;CAMINHONETE;345
AC;MANCIO LIMA;CAMIONETA;30
AC;MANCIO LIMA;CHASSI PLATAF;0
AC;MANCIO LIMA;CICLOMOTOR;1
AC;MANCIO LIMA;MICRO-ONIBUS;4
AC;MANCIO LIMA;MOTOCICLETA;2291
AC;MANCIO LIMA;MOTONETA;599
AC;MANCIO LIMA;ONIBUS;17
AC;MANCIO LIMA;QUADRICICLO;0
AC;MANCIO LIMA;REBOQUE;2
AC;MANCIO LIMA;SEMI-REBOQUE;4
AC;MANCIO LIMA;SIDE-CAR;0
AC;MANCIO LIMA;OUTROS;0
AC;MANCIO LIMA;TRATOR ESTEI;0
AC;MANCIO LIMA;TRATOR RODAS;0
AC;MANCIO LIMA;TRICICLO;0
