"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"29-06-2021","Não","240","09:30","10:00","30","""Luiz Eduardo Ramos, Ministro de Estado Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"29-06-2021","Não","240","10:00","10:30","30","""Senador Fernando Bezerra Coelho (MDB/PE), Líder do Governo no Senado Federal""","""Palácio do Planalto"""
"29-06-2021","Não","240","14:00","14:30","30","""Rafael Paulo Soares Pinto, Juiz Federal do Tribunal Regional Federal da 1ª Região - TRF1""","""Palácio do Planalto"""
"29-06-2021","Não","240","14:30","15:00","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"29-06-2021","Não","240","15:00","15:30","30","""Milton Ribeiro, Ministro de Estado da Educação""","""Palácio do Planalto"""
"29-06-2021","Não","240","15:30","16:00","30","""Braga Netto, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"29-06-2021","Não","240","16:30","17:30","60","""Lançamento do novo sistema de recadastramento de Pescadores Profissionais e da Rede Pesca Brasil""","""Palácio do Planalto"""
