"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"28-06-2021","Não","180","10:00","11:30","90","""Lançamento do Plano Safra do Banco do Brasil 2021/2022""","""Brasília/DF"""
"28-06-2021","Não","180","15:00","15:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"28-06-2021","Não","180","16:00","17:00","60","""Anderson Torres, Ministro de Estado da Justiça e Segurança Pública""","""Palácio do Planalto"""
