"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"17-06-2021","Não","300","10:00","11:20","80","""Partida de Brasília/DF para o Rio de Janeiro/RJ""","""Base Aérea de Brasília"""
"17-06-2021","Não","300","12:30","14:20","110","""Almoço com a Associação de Supermercados do Rio de Janeiro - ASSERJ""","""Rio de Janeiro/RJ"""
"17-06-2021","Não","300","15:40","17:00","80","""Partida do Rio de Janeiro/DF para Brasília/DF""","""Aeroporto Santos Dumont"""
"17-06-2021","Não","300","17:00","17:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Base Aérea de Brasília"""
