"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"18-06-2021","Não","210","12:00","13:00","60","""Cerimônia de Entrega de Títulos de Propriedade Rural no estado do Pará""","""Marabá/PA"""
"18-06-2021","Não","210","14:45","15:45","60","""Cerimônia de Liberação da Pavimentação de 102 km da Rodovia Transamazônica (BR-230/PA) e Assinatura da Ordem de Serviço para o Início das Obras da Ponte sobre o Rio Xingu""","""Novo Repartimento/PA"""
"18-06-2021","Não","210","19:30","21:00","90","""Culto em Comemoração dos 110 Anos da Assembleia de Deus no Brasil""","""Belém/PA"""
